,source,target
632,2768m,4243f
633,2769m,2822f
634,276m,3580f
635,2770m,2265f
636,2770m,7142f
637,2771m,1526f
638,2773m,2134f
639,2775m,2714f
640,2776m,467f
641,2777m,4939f
642,2779m,3463f
643,277m,2167f
644,2781m,1388f
645,2782m,2482f
646,2791m,1309f
647,2794m,1337f
648,2796m,1140f
649,2797m,1562f
650,2800m,3683f
651,2801m,986f
652,2806m,594f
653,2810m,871f
654,2812m,2003f
655,2813m,1704f
656,2814m,399f
657,2819m,2919f
658,2827m,3488f
659,2828m,920f
660,282m,368f
661,2835m,1317f
662,2836m,1175f
663,2839m,2169f
664,2842m,991f
665,2843m,162f
666,2846m,410f
667,2848m,2809f
668,2849m,5310f
669,2849m,979f
670,2852m,1127f
671,2854m,3558f
672,2855m,7139f
673,2859m,620f
674,2863m,2909f
675,2864m,1916f
676,2869m,4443f
677,2871m,557f
678,2874m,2898f
679,2879m,666f
680,2882m,3242f
681,2885m,3479f
682,2892m,2570f
683,2894m,1288f
684,2897m,4325f
685,2899m,932f
686,2900m,1075f
687,2903m,3952f
688,2905m,1258f
689,2906m,857f
690,2908m,4263f
691,290m,4736f
692,2912m,4735f
693,2916m,4152f
694,292m,4781f
695,2931m,6881f
696,2936m,305f
697,293m,2478f
698,2941m,1762f
699,2942m,2868f
700,2944m,2228f
701,2946m,204f
702,2947m,4127f
703,294m,3141f
704,2952m,5214f
705,2952m,5626f
706,2953m,1463f
707,2955m,5301f
708,2957m,4600f
709,2959m,5272f
710,2960m,1662f
711,2963m,2631f
712,2965m,3508f
713,2967m,6411f
714,296m,5286f
715,2970m,3210f
716,2974m,1606f
717,2977m,2040f
718,2979m,5323f
719,297m,4538f
720,2982m,593f
721,2983m,3758f
722,2989m,1995f
723,2991m,664f
724,2996m,2058f
725,3016m,2998f
726,3017m,2051f
727,3023m,3432f
728,3030m,1310f
729,3033m,2470f
730,3037m,2569f
731,3039m,4242f
732,303m,533f
733,3043m,564f
734,3045m,4665f
735,3046m,4450f
736,3047m,284f
737,304m,2803f
738,3058m,4983f
739,3070m,2807f
740,3073m,2026f
741,3077m,2914f
742,3081m,2922f
743,3082m,1070f
744,3085m,5250f
745,3086m,4552f
746,3087m,2423f
747,3088m,6787f
748,3090m,1286f
749,3096m,5237f
750,3097m,4355f
751,3100m,3677f
752,3101m,4404f
753,3103m,2876f
754,3105m,4577f
755,3108m,1253f
756,3109m,1633f
757,3110m,5749f
758,3119m,4380f
759,3123m,2508f
760,3125m,5515f
761,3127m,1943f
762,3128m,5494f
763,3129m,1644f
764,312m,3444f
765,3132m,5046f
766,3142m,4718f
767,3147m,1328f
768,3148m,2373f
769,314m,5249f
770,3150m,4942f
771,3154m,5293f
772,315m,54f
773,3160m,3381f
774,3162m,1702f
775,316m,4566f
776,3170m,1647f
777,3172m,3002f
778,3173m,3669f
779,3179m,1169f
780,3180m,4157f
781,3181m,2169f
782,3182m,5320f
783,3190m,1893f
784,3196m,5256f
785,3198m,2746f
786,3208m,4011f
787,3209m,1791f
788,3211m,2481f
789,3212m,3512f
790,3217m,1911f
791,3217m,3670f
792,3218m,3373f
793,3219m,2090f
794,321m,734f
795,3221m,5223f
796,322m,1659f
797,3230m,3065f
798,3231m,7329f
799,3233m,4412f
800,3234m,5340f
801,3240m,5241f
802,3243m,722f
803,3243m,2699f
804,3244m,1394f
805,3254m,1205f
806,3257m,985f
807,3263m,101f
808,3265m,1580f
809,3268m,1120f
810,3269m,720f
811,3271m,5789f
812,3274m,4395f
813,327m,192f
814,3283m,5331f
815,3284m,1776f
816,3285m,891f
817,3290m,3816f
818,3295m,3895f
819,3299m,3270f
820,3308m,1932f
821,3310m,254f
822,3311m,1530f
823,3312m,1047f
824,3314m,268f
825,3316m,952f
826,3317m,2856f
827,3318m,3278f
828,3320m,27f
829,3322m,313f
830,3323m,2705f
831,3326m,4158f
832,3329m,5557f
833,332m,3305f
834,3333m,3412f
835,3335m,5297f
836,3338m,4206f
837,3339m,1110f
838,3357m,2270f
839,3358m,1089f
840,3359m,2323f
841,3359m,537f
842,3360m,2095f
843,3366m,5556f
844,3367m,4102f
845,336m,5661f
846,3379m,1178f
847,3382m,635f
848,3383m,4367f
849,3384m,3436f
850,3387m,4417f
851,3388m,2966f
852,3390m,7140f
853,3393m,421f
854,3399m,3794f
855,339m,2630f
856,33m,4089f
857,3403m,2679f
858,3404m,3855f
859,3407m,4141f
860,3407m,2515f
861,3407m,2992f
862,3409m,547f
863,3416m,48f
864,3419m,2235f
865,3420m,4232f
866,3421m,2151f
867,3422m,860f
868,3423m,829f
869,3430m,3703f
870,3431m,1435f
871,3431m,3645f
872,3433m,5269f
873,3434m,2287f
874,3440m,4491f
875,3441m,1862f
876,3445m,3949f
877,344m,6503f
878,3450m,2082f
879,3451m,4563f
880,3456m,1642f
881,3461m,5227f
882,3464m,1145f
883,3466m,2399f
884,3469m,5220f
885,346m,4070f
886,3474m,2239f
887,3476m,3325f
888,3480m,4440f
889,3481m,3025f
890,3487m,4588f
891,3489m,1957f
892,3490m,3979f
893,3494m,2661f
894,3495m,2447f
895,3496m,1658f
896,3498m,1825f
897,3510m,4515f
898,3513m,1305f
899,3514m,3726f
900,3515m,220f
901,3519m,3882f
902,3520m,2788f
903,3523m,1430f
904,3524m,5232f
905,3524m,5681f
906,3532m,3486f
907,3536m,1238f
908,3540m,4258f
909,3548m,4574f
910,354m,3652f
911,3550m,1021f
912,3552m,93f
913,355m,5275f
914,3567m,2677f
915,3569m,2539f
916,3574m,1279f
917,3575m,4005f
918,3578m,1149f
919,3581m,2040f
920,3584m,3251f
921,3584m,7430f
922,3586m,3772f
923,3586m,5722f
924,3587m,1304f
925,3590m,4227f
926,3594m,718f
927,3595m,2670f
928,3596m,2099f
929,3597m,1735f
930,3601m,823f
931,3602m,4312f
932,3606m,4553f
933,3608m,3062f
934,3609m,3149f
935,3611m,3672f
936,3619m,3158f
937,361m,3018f
938,3622m,1160f
939,3628m,4795f
940,3635m,1210f
941,3636m,4923f
942,363m,3079f
943,3642m,2084f
944,3650m,212f
945,3653m,1763f
946,3654m,4561f
947,3658m,4713f
948,3658m,5708f
949,3667m,1376f
950,3673m,1267f
951,3675m,3099f
952,3675m,4032f
953,3680m,5561f
954,3687m,1488f
955,3694m,3957f
956,3696m,4922f
957,3699m,177f
958,369m,4792f
959,3700m,5236f
960,3704m,3213f
961,370m,3370f
962,3712m,3042f
963,3714m,643f
964,3714m,3976f
965,3715m,6002f
966,3716m,6304f
967,3717m,3091f
968,3718m,4966f
969,371m,5015f
970,3720m,5322f
971,3727m,3428f
972,3729m,892f
973,372m,2786f
974,3730m,6506f
975,3737m,2014f
976,3739m,1339f
977,3744m,4756f
978,3746m,3066f
979,3747m,649f
980,3751m,5229f
981,3752m,5260f
982,3756m,5299f
983,3757m,1985f
984,3759m,3971f
985,375m,4134f
986,3761m,256f
987,3765m,4523f
988,3769m,1968f
989,3773m,3300f
990,3774m,2251f
991,3775m,4562f
992,3783m,1777f
993,3784m,1506f
994,3786m,3291f
995,3787m,2319f
996,378m,6880f
997,3791m,3618f
998,3791m,3772f
999,379m,1534f
1000,3806m,3685f
1001,3807m,529f
1002,3808m,3059f
1003,380m,1056f
1004,380m,161f
1005,3810m,2915f
1006,3811m,4293f
1007,3815m,2486f
1008,3821m,5316f
1009,3822m,3921f
1010,3823m,3710f
1011,3826m,539f
1012,3828m,396f
1013,3834m,1166f
1014,3836m,999f
1015,3839m,5290f
1016,3840m,1156f
1017,384m,4952f
1018,3850m,1265f
1019,3851m,4864f
1020,3852m,2997f
1021,3858m,381f
1022,385m,49f
1023,3868m,428f
1024,3872m,2060f
1025,3873m,5339f
1026,3878m,4190f
1027,3883m,3292f
1028,3886m,1099f
1029,3887m,4382f
1030,3896m,2501f
1031,389m,3707f
1032,3903m,5361f
1033,3906m,4426f
1034,3907m,2427f
1035,3912m,705f
1036,3913m,5313f
1037,3914m,4024f
1038,3915m,2873f
1039,3917m,2412f
1040,3918m,1492f
1041,391m,829f
1042,3920m,518f
1043,3924m,1035f
1044,392m,6962f
1045,3931m,1058f
1046,3932m,4214f
1047,3933m,2720f
1048,3943m,5247f
1049,3946m,7053f
1050,3955m,205f
1051,3956m,741f
1052,3964m,7423f
1053,3967m,4479f
1054,3969m,6410f
1055,3973m,2889f
1056,3974m,3809f
1057,3975m,1049f
1058,3977m,5215f
1059,3978m,5319f
1060,3983m,4231f
1061,3984m,5555f
1062,3987m,5558f
1063,3990m,500f
1064,3992m,3553f
1065,3996m,764f
1066,3999m,4032f
1067,39m,4646f
1068,4009m,4740f
1069,4012m,5280f
1070,4016m,1668f
1071,4019m,5228f
1072,4020m,6300f
1073,4022m,1470f
1074,4027m,5296f
1075,4028m,3530f
1076,402m,6289f
1077,4031m,4535f
1078,4033m,5289f
1079,4037m,143f
1080,4038m,1329f
1081,4040m,478f
1082,4041m,2225f
1083,4042m,5221f
1084,4043m,17f
1085,404m,347f
1086,404m,3859f
1087,4051m,2053f
1088,4054m,4850f
1089,4055m,388f
1090,4057m,2498f
1091,4059m,4014f
1092,4061m,1923f
1093,4062m,2178f
1094,4064m,712f
1095,4068m,3220f
1096,4069m,2611f
1097,406m,2823f
1098,4072m,3267f
1099,4072m,3660f
1100,4073m,1759f
1101,4076m,899f
1102,4079m,1307f
1103,4082m,1279f
1104,4082m,7237f
1105,4086m,331f
1106,4087m,587f
1107,4088m,2597f
1108,408m,827f
1109,409m,2689f
1110,4110m,4346f
1111,4111m,4978f
1112,4113m,890f
1113,4114m,2647f
1114,4117m,4880f
1115,4118m,4384f
1116,411m,4349f
1117,4122m,1135f
1118,4125m,4493f
1119,4129m,1766f
1120,4135m,4185f
1121,4138m,642f
1122,4148m,2735f
1123,4150m,3176f
1124,4151m,4390f
1125,4156m,802f
1126,4160m,5285f
1127,4161m,825f
1128,4163m,538f
1129,4165m,4608f
1130,4171m,3621f
1131,4173m,1113f
1132,4182m,1850f
1133,4188m,3662f
1134,4191m,4520f
1135,4191m,222f
1136,4194m,1053f
1137,4196m,53f
1138,4198m,2166f
1139,4201m,887f
1140,4203m,2883f
1141,4207m,4995f
1142,4209m,4116f
1143,420m,4078f
1144,4210m,5218f
1145,4210m,5554f
1146,4219m,1022f
1147,4219m,4638f
1148,4222m,4217f
1149,4226m,5226f
1150,423m,1529f
1151,4244m,3276f
1152,4246m,224f
1153,425m,5239f
1154,4261m,3904f
1155,4262m,4716f
1156,4265m,3833f
1157,426m,5501f
1158,4270m,3682f
1159,4280m,1452f
1160,4281m,4476f
1161,4284m,2766f
1162,4287m,4996f
1163,4290m,3690f
1164,4291m,2872f
1165,4292m,4997f
1166,4302m,4776f
1167,4303m,5552f
1168,4305m,286f
1169,4306m,3452f
1170,4307m,3491f
1171,430m,4825f
1172,4310m,1022f
1173,4315m,4506f
1174,431m,1935f
1175,4320m,6097f
1176,4323m,4133f
1177,4324m,188f
1178,4327m,885f
1179,4329m,5258f
1180,432m,5266f
1181,4330m,4586f
1182,4332m,1626f
1183,4336m,210f
1184,4337m,704f
1185,433m,543f
1186,4340m,2764f
1187,4342m,730f
1188,4343m,4058f
1189,4348m,940f
1190,4351m,3755f
1191,4352m,3848f
1192,4353m,4067f
1193,4359m,1188f
1194,435m,993f
1195,4361m,348f
1196,4363m,122f
1197,4364m,1100f
1198,4369m,1976f
1199,4372m,6409f
1200,4377m,5503f
1201,4379m,3345f
1202,4385m,1706f
1203,438m,5268f
1204,4391m,1525f
1205,4393m,1886f
1206,4400m,105f
1207,4401m,4347f
1208,4402m,4662f
1209,4403m,4619f
1210,4405m,1173f
1211,4409m,4375f
1212,440m,713f
1213,4410m,3237f
1214,4415m,3825f
1215,4416m,1651f
1216,4418m,872f
1217,4420m,4494f
1218,4421m,2234f
1219,4422m,1500f
1220,4425m,5262f
1221,4427m,3184f
1222,4429m,881f
1223,4432m,4008f
1224,4436m,1275f
1225,4438m,4056f
1226,4438m,5502f
1227,4438m,5474f
1228,443m,2748f
1229,4441m,2317f
1230,4442m,3280f
1231,4445m,6609f
1232,4447m,2795f
1233,4449m,5217f
1234,4449m,5212f
1235,4449m,509f
1236,4452m,3238f
1237,4453m,1111f
1238,4455m,3681f
1239,4460m,3591f
1240,4460m,5032f
1241,4461m,521f
1242,4465m,2519f
1243,4466m,645f
1244,4468m,4904f
1245,4469m,2024f
1246,4470m,4186f
1247,4471m,2125f
1248,4471m,4250f
1249,4473m,3927f
1250,4474m,3112f
1251,4480m,2602f
1252,4481m,4891f
1253,4482m,2341f
1254,4483m,509f
1255,4483m,4673f
1256,4484m,2691f
1257,4485m,7054f
1258,4486m,4602f
1259,448m,330f
1260,449m,3462f
1261,4501m,2964f
1262,4512m,4890f
1263,4514m,407f
1264,4516m,4021f
1265,451m,1124f
1266,4522m,3020f
1267,4530m,5563f
1268,4533m,1437f
1269,4534m,4230f
1270,4537m,3115f
1271,4537m,2026f
1272,4539m,3781f
1273,4539m,1917f
1274,4541m,6296f
1275,4542m,2408f
1276,4543m,3651f
1277,4544m,5344f
1278,4546m,5255f
1279,4549m,900f
1280,4554m,4322f
1281,4556m,4025f
1282,4557m,7144f
1283,4560m,2462f
1284,4564m,2978f
1285,4565m,4208f
1286,4567m,846f
1287,4568m,2566f
1288,4569m,6505f
1289,4570m,5295f
1290,4575m,2532f
1291,4576m,4976f
1292,4579m,4121f
1293,4584m,804f
1294,458m,2527f
1295,4592m,1838f
1296,4598m,4098f
1297,4598m,2584f
1298,4598m,6006f
1299,4599m,5750f
1300,45m,5292f
1301,4601m,3287f
1302,4605m,2625f
1303,4606m,4101f
1304,4612m,3866f
1305,4613m,958f
1306,4614m,1865f
1307,461m,2032f
1308,4620m,5244f
1309,4621m,367f
1310,4622m,3201f
1311,4624m,365f
1312,4624m,7334f
1313,4630m,1708f
1314,4637m,2671f
1315,463m,4187f
1316,4641m,3321f
1317,4644m,3054f
1318,4645m,2047f
1319,4647m,231f
1320,4650m,790f
1321,4652m,2588f
1322,4653m,97f
1323,4655m,4164f
1324,4656m,1575f
1325,4657m,2025f
1326,4657m,3052f
1327,4659m,2667f
1328,465m,3313f
1329,4660m,2345f
1330,4666m,699f
1331,4668m,1457f
1332,4671m,6879f
1333,4672m,3939f
1334,4674m,4221f
1335,4675m,2778f
1336,4680m,1129f
1337,4682m,5334f
1338,4689m,4398f
1339,468m,4947f
1340,4692m,2133f
1341,4697m,4104f
1342,4701m,3309f
1343,4707m,2067f
1344,4710m,2293f
1345,4712m,3544f
1346,4714m,1502f
1347,4719m,1832f
1348,471m,1448f
1349,4720m,4607f
1350,4722m,4439f
1351,4722m,2125f
1352,4724m,1900f
1353,4729m,5020f
1354,4731m,4524f
1355,4734m,4240f
1356,4741m,6007f
1357,4742m,5224f
1358,4744m,4000f
1359,4745m,503f
1360,4751m,2193f
1361,4752m,1232f
1362,4755m,1384f
1363,475m,6290f
1364,4760m,2510f
1365,4761m,4301f
1366,4762m,2619f
1367,4763m,657f
1368,476m,2187f
1369,4774m,4231f
1370,4778m,2207f
1371,4787m,5325f
1372,4793m,455f
1373,4794m,696f
1374,4796m,2538f
1375,4798m,3647f
1376,4799m,4189f
1377,4800m,2117f
1378,4801m,4517f
1379,4802m,4648f
1380,4803m,931f
1381,4804m,3911f
1382,4807m,4386f
1383,4809m,1833f
1384,480m,585f
1385,4810m,1371f
1386,4811m,3958f
1387,4819m,4235f
1388,4824m,4408f
1389,4826m,1950f
1390,4828m,2850f
1391,4831m,442f
1392,4834m,3539f
1393,4837m,4174f
1394,4837m,3114f
1395,4840m,5230f
1396,4842m,528f
1397,4848m,5283f
1398,484m,4299f
1399,4853m,4513f
1400,4856m,71f
1401,4859m,4178f
1402,485m,3603f
1403,4861m,323f
1404,4863m,270f
1405,4866m,4785f
1406,486m,2268f
1407,4870m,625f
1408,4871m,3187f
1409,4874m,3397f
1410,4877m,4467f
1411,487m,196f
1412,4881m,4773f
1413,4882m,3997f
1414,4886m,3800f
1415,488m,3709f
1416,4893m,3426f
1417,4897m,883f
1418,4899m,1557f
1419,4902m,3174f
1420,4906m,2716f
1421,4909m,1912f
1422,490m,4414f
1423,4913m,7839f
1424,4914m,3988f
1425,4916m,1560f
1426,4928m,1707f
1427,4930m,3666f
1428,4931m,4131f
1429,4933m,1708f
1430,4935m,583f
1431,4936m,1024f
1432,493m,1382f
1433,4941m,6307f
1434,4944m,2124f
1435,4945m,2077f
1436,4946m,3572f
1437,494m,4458f
1438,4951m,4215f
1439,4960m,1710f
1440,4962m,1977f
1441,4962m,5507f
1442,4964m,3289f
1443,4971m,5263f
1444,4975m,4633f
1445,4981m,3249f
1446,4982m,1984f
1447,4987m,138f
1448,4988m,3261f
1449,4988m,5232f
1450,4993m,198f
1451,499m,3541f
1452,4m,4912f
1453,5010m,5067f
1454,5011m,909f
1455,5012m,5500f
1456,5014m,810f
1457,5018m,5621f
1458,5026m,2686f
1459,5029m,5482f
1460,502m,4496f
1461,5038m,5216f
1462,5039m,1636f
1463,5042m,7624f
1464,5044m,422f
1465,5045m,5584f
1466,5048m,5512f
1467,5054m,5040f
1468,5057m,5496f
1469,5058m,6001f
1470,5059m,2480f
1471,505m,2472f
1472,5069m,5643f
1473,5072m,5810f
1474,5074m,5017f
1475,5075m,6786f
1476,5076m,2420f
1477,5077m,38f
1478,5078m,3600f
1479,5079m,2384f
1480,507m,3760f
1481,5080m,1909f
1482,5081m,2327f
1483,5082m,512f
1484,5083m,4527f
1485,5084m,4596f
1486,5085m,930f
1487,5086m,114f
1488,5087m,1191f
1489,5088m,6297f
1490,5089m,7231f
1491,5090m,4142f
1492,5091m,4464f
1493,5092m,6293f
1494,5093m,1357f
1495,5094m,166f
1496,5095m,5231f
1497,5096m,60f
1498,5097m,3372f
1499,5098m,90f
1500,5099m,4093f
1501,5100m,6504f
1502,5101m,4990f
1503,5102m,2853f
1504,5103m,2544f
1505,5104m,4631f
1506,5105m,3301f
1507,5106m,141f
1508,5107m,3854f
1509,5108m,3795f
1510,5109m,2019f
1511,5110m,3613f
1512,5111m,4884f
1513,5112m,763f
1514,5113m,2951f
1515,5114m,243f
1516,5115m,2646f
1517,5116m,4248f
1518,5117m,28f
1519,5118m,3478f
1520,5119m,2185f
1521,5120m,3902f
1522,5121m,950f
1523,5122m,2362f
1524,5123m,5267f
1525,5124m,928f
1526,5125m,6507f
1527,5126m,5309f
1528,5127m,3551f
1529,5128m,4878f
1530,5129m,866f
1531,5130m,861f
1532,5131m,1559f
1533,5132m,3215f
1534,5135m,2631f
1535,5136m,325f
1536,5137m,4669f
1537,5138m,5312f
1538,5139m,4730f
1539,5140m,4616f
1540,5141m,2528f
1541,5142m,5278f
1542,5143m,4594f
1543,5144m,4855f
1544,5145m,831f
1545,5146m,5261f
1546,5147m,4917f
1547,5148m,3909f
1548,5149m,1584f
1549,5150m,5318f
1550,5151m,6510f
1551,5152m,3684f
1552,5153m,5284f
1553,5154m,1176f
1554,5155m,1195f
1555,5155m,7845f
1556,5156m,5307f
1557,5157m,3485f
1558,5158m,749f
1559,5159m,82f
1560,5160m,568f
1561,5161m,4681f
1562,5162m,746f
1563,5163m,3649f
1564,5165m,1885f
1565,5168m,3749f
1566,5169m,4832f
1567,516m,3630f
1568,5171m,3754f
1569,5175m,852f
1570,5176m,2968f
1571,5178m,5305f
1572,517m,1852f
1573,5180m,3460f
1574,5181m,4550f
1575,5182m,1705f
1576,5184m,3763f
1577,5192m,3995f
1578,5194m,3449f
1579,5199m,2663f
1580,51m,2290f
1581,5203m,2895f
1582,525m,6291f
1583,526m,72f
1584,527m,3191f
1585,531m,439f
1586,536m,4919f
1587,542m,1992f
1588,544m,1324f
1589,5464m,5524f
1590,5465m,5037f
1591,5466m,5721f
1592,5468m,5702f
1593,5469m,3591f
1594,5471m,7426f
1595,5472m,5641f
1596,5475m,5513f
1597,5476m,5049f
1598,5477m,7429f
1599,5478m,1459f
1600,5479m,5030f
1601,5481m,5470f
1602,5484m,5697f
1603,5489m,7138f
1604,5490m,5719f
1605,5492m,5553f
1606,5493m,5617f
1607,5497m,4056f
1608,5499m,5522f
1609,549m,5254f
1610,5504m,5582f
1611,5510m,5657f
1612,5516m,5783f
1613,5519m,5506f
1614,551m,1036f
1615,5520m,5682f
1616,5523m,5706f
1617,5527m,7726f
1618,5528m,6501f
1619,5529m,6298f
1620,552m,2033f
1621,5530m,1632f
1622,5531m,3057f
1623,5532m,417f
1624,5533m,271f
1625,5534m,6508f
1626,5535m,157f
1627,5536m,4200f
1628,5537m,5560f
1629,5538m,3697f
1630,5539m,3790f
1631,553m,4139f
1632,5540m,4896f
1633,5541m,2921f
1634,5542m,235f
1635,5543m,571f
1636,5543m,629f
1637,5544m,2752f
1638,5546m,3307f
1639,554m,5240f
1640,555m,2137f
1641,556m,2266f
1642,5581m,5618f
1643,5587m,5602f
1644,5590m,5696f
1645,5591m,4289f
1646,5592m,5715f
1647,5593m,5694f
1648,5594m,5063f
1649,5596m,3529f
1650,5597m,7628f
1651,5598m,5858f
1652,5599m,5691f
1653,559m,2288f
1654,5600m,5846f
1655,5601m,5730f
1656,5603m,5687f
1657,5604m,5745f
1658,5605m,7425f
1659,5608m,5978f
1660,5609m,5637f
1661,5610m,5778f
1662,5611m,5628f
1663,5613m,6287f
1664,5616m,5612f
1665,5619m,5631f
1666,561m,5302f
1667,5620m,5704f
1668,5622m,5521f
1669,5624m,5939f
1670,5625m,1823f
1671,5629m,5720f
1672,5630m,5862f
1673,5633m,5782f
1674,5636m,5623f
1675,5644m,2799f
1676,5645m,820f
1677,5646m,4507f
1678,5647m,3019f
1679,5647m,1198f
1680,5649m,3661f
1681,5675m,6047f
1682,5677m,5723f
1683,5678m,5808f
1684,5679m,6242f
1685,5685m,5586f
1686,5686m,5870f
1687,5688m,5940f
1688,5690m,7627f
1689,5692m,5638f
1690,5698m,5724f
1691,569m,1420f
1692,56m,1296f
1693,5701m,5525f
1694,5703m,5517f
1695,5705m,5900f
1696,5707m,120f
1697,5709m,5491f
1698,570m,3535f
1699,5710m,5731f
1700,5711m,5683f
1701,5712m,3304f
1702,5717m,7629f
1703,5718m,5607f
1704,5725m,5734f
1705,5727m,5656f
1706,5729m,5483f
1707,5732m,5016f
1708,5733m,5676f
1709,5735m,5790f
1710,5736m,7525f
1711,5737m,5973f
1712,5738m,5659f
1713,5739m,4046f
1714,5739m,2215f
1715,5741m,5367f
1716,574m,1948f
1717,5761m,7840f
1718,5762m,5985f
1719,5765m,5522f
1720,5766m,5965f
1721,5767m,6139f
1722,5770m,6036f
1723,5771m,6070f
1724,5772m,5823f
1725,5773m,5850f
1726,5776m,5642f
1727,577m,3554f
1728,5784m,5781f
1729,5785m,5511f
1730,5787m,6438f
1731,5788m,5845f
1732,5791m,5777f
1733,5792m,5726f
1734,5794m,5588f
1735,5795m,5635f
1736,5802m,5889f
1737,5805m,5763f
1738,5809m,7836f
1739,5811m,5948f
1740,5816m,6286f
1741,5817m,5640f
1742,5820m,5814f
1743,5826m,2523f
1744,5827m,4205f
1745,5828m,6004f
1746,5829m,3689f
1747,5830m,3178f
1748,5832m,3763f
1749,5834m,446f
1750,5848m,5746f
1751,5851m,5713f
1752,5854m,5780f
1753,5856m,6065f
1754,5860m,5797f
1755,5863m,5932f
1756,5864m,5508f
1757,5865m,5906f
1758,5868m,6262f
1759,5869m,6285f
1760,5871m,5877f
1761,5873m,5700f
1762,5874m,5899f
1763,5875m,5849f
1764,5886m,5951f
1765,5888m,6283f
1766,588m,3506f
1767,5890m,5815f
1768,5892m,5987f
1769,5893m,5822f
1770,5895m,5857f
1771,5896m,5819f
1772,5897m,5949f
1773,5902m,6023f
1774,5907m,5799f
1775,5908m,5467f
1776,5911m,4328f
1777,5912m,3205f
1778,5930m,5936f
1779,5931m,6210f
1780,5933m,5929f
1781,5935m,5853f
1782,5937m,5944f
1783,5941m,5956f
1784,5943m,5818f
1785,5945m,5769f
1786,5950m,5938f
1787,5952m,6109f
1788,5954m,7725f
1789,5955m,5880f
1790,5958m,5867f
1791,5960m,5885f
1792,5962m,5906f
1793,5963m,6386f
1794,5964m,6145f
1795,5970m,5595f
1796,5975m,5947f
1797,5976m,6128f
1798,5979m,6154f
1799,5982m,5957f
1800,5983m,6115f
1801,5986m,5768f
1802,598m,954f
1803,599m,4311f
1804,600m,3970f
1805,6019m,5855f
1806,6021m,6157f
1807,6024m,6071f
1808,602m,119f
1809,6033m,6174f
1810,6034m,6368f
1811,6037m,6067f
1812,6038m,5959f
1813,6040m,6148f
1814,6041m,5689f
1815,6043m,6134f
1816,6044m,6000f
1817,6045m,5821f
1818,6049m,6208f
1819,604m,1520f
1820,6051m,6173f
1821,6053m,6064f
1822,6063m,6075f
1823,6066m,5928f
1824,6069m,6020f
1825,6078m,5798f
1826,6080m,6232f
1827,6081m,6166f
1828,6082m,6141f
1829,6083m,6072f
1830,6086m,5909f
1831,6087m,5495f
1832,6088m,250f
1833,6089m,3624f
1834,6089m,1201f
1835,610m,4126f
1836,6113m,5847f
1837,6117m,6154f
1838,6118m,5992f
1839,6124m,5946f
1840,6127m,5961f
1841,6129m,5774f
1842,612m,4153f
1843,6130m,6074f
1844,6131m,5905f
1845,6132m,6074f
1846,6135m,6068f
1847,6137m,5968f
1848,6138m,6156f
1849,613m,3349f
1850,6142m,5934f
1851,6143m,6153f
1852,6147m,6383f
1853,6151m,7623f
1854,6165m,6164f
1855,6167m,5953f
1856,6170m,6058f
1857,6170m,6172f
1858,6176m,6026f
1859,6178m,4487f
1860,6179m,5337f
1861,6179m,6963f
1862,617m,4885f
1863,618m,2884f
1864,619m,3151f
1865,61m,238f
1866,61m,349f
1867,61m,7427f
1868,621m,58f
1869,6226m,6333f
1870,6228m,6119f
1871,6229m,5981f
1872,622m,1881f
1873,6230m,7622f
1874,6249m,5901f
1875,6255m,5898f
1876,6256m,6217f
1877,6259m,6231f
1878,6264m,6059f
1879,6268m,5487f
1880,6269m,7232f
1881,626m,550f
1882,6270m,4365f
1883,6271m,44f
1884,6272m,2902f
1885,6273m,923f
1886,6273m,774f
1887,6274m,2245f
1888,6275m,6306f
1889,6278m,5564f
1890,6279m,5565f
1891,627m,6098f
1892,6280m,5662f
1893,6323m,6331f
1894,633m,3733f
1895,6361m,6029f
1896,637m,6303f
1897,638m,424f
1898,6392m,2958f
1899,6393m,3374f
1900,6394m,581f
1901,6396m,944f
1902,6397m,3302f
1903,6398m,3803f
1904,6399m,1174f
1905,63m,5287f
1906,646m,3605f
1907,647m,1212f
1908,648m,2180f
1909,6490m,1896f
1910,6491m,6187f
1911,6492m,4095f
1912,64m,1538f
1913,650m,2943f
1914,651m,662f
1915,653m,4211f
1916,655m,3425f
1917,656m,83f
1918,6596m,6292f
1919,6597m,2118f
1920,6598m,2497f
1921,6599m,334f
1922,659m,75f
1923,6600m,5314f
1924,6605m,3458f
1925,6608m,3824f
1926,663m,3766f
1927,665m,2860f
1928,667m,2111f
1929,667m,7328f
1930,6691m,5276f
1931,6692m,3499f
1932,6693m,1813f
1933,6694m,4918f
1934,6779m,877f
1935,6780m,31f
1936,6781m,904f
1937,6782m,4168f
1938,67m,1282f
1939,680m,1656f
1940,682m,2102f
1941,683m,5355f
1942,684m,2227f
1943,6867m,2332f
1944,6867m,3071f
1945,6868m,3297f
1946,6869m,1168f
1947,6870m,5304f
1948,6870m,2097f
1949,6871m,3881f
1950,6872m,5329f
1951,688m,4149f
1952,690m,5022f
1953,694m,1015f
1954,6956m,5583f
1955,6957m,4239f
1956,6958m,6699f
1957,6959m,3107f
1958,698m,2233f
1959,69m,4948f
1960,700m,12f
1961,7048m,2011f
1962,7048m,7432f
1963,7049m,4309f
1964,7050m,4815f
1965,707m,2171f
1966,709m,1591f
1967,710m,3117f
1968,711m,759f
1969,7125m,2101f
